class_id,class_name,coach_id,day_of_week,start_time,duration_minutes,capacity,enrolled_count,room,difficulty,price_per_session_eur,active
1,Strength Circuit,30,Wednesday,08:30:00,75,10,1,Studio 1,Beginner,12,1
2,Strength Circuit,35,Sunday,15:00:00,90,20,5,Studio 1,Advanced,0,1
3,Morning Yoga,3,Friday,11:30:00,75,26,4,Studio 2,Beginner,8,1
4,Strength Circuit,4,Saturday,12:30:00,90,16,13,Studio 2,Intermediate,0,1
5,HIIT Blast,17,Friday,09:00:00,50,18,17,Studio 1,Advanced,10,1
6,HIIT Blast,25,Wednesday,20:00:00,90,12,5,Studio 2,Beginner,8,1
7,Stretch & Relax,22,Friday,13:00:00,45,18,6,Outdoor,Beginner,0,1
8,Morning Yoga,2,Monday,09:00:00,75,25,2,Main Floor,All Levels,0,1
9,Strength Circuit,47,Sunday,10:30:00,90,8,8,Outdoor,Beginner,8,0
10,Stretch & Relax,60,Sunday,12:30:00,45,12,7,Studio 2,Advanced,0,1
11,Aqua Aerobics,11,Monday,11:00:00,60,10,2,Studio 2,All Levels,5,0
12,Aqua Aerobics,6,Thursday,19:30:00,75,13,7,Studio 1,All Levels,0,1
13,Spin Cycle,15,Friday,06:00:00,45,27,24,Main Floor,Beginner,0,1
14,Morning Yoga,36,Friday,09:30:00,90,17,9,Main Floor,Advanced,10,1
15,HIIT Blast,43,Sunday,19:00:00,45,18,0,Studio 2,Intermediate,0,1
16,Aqua Aerobics,23,Thursday,12:00:00,45,18,7,Main Floor,Advanced,0,1
17,Boxing Basics,42,Monday,10:00:00,75,28,7,Pool,All Levels,12,1
18,CrossFit WOD,50,Tuesday,15:30:00,50,29,18,Studio 2,All Levels,10,1
19,Zumba Party,48,Saturday,15:30:00,50,13,12,Pool,Advanced,5,1
20,Evening Pilates,12,Saturday,15:00:00,60,8,1,Outdoor,Advanced,0,1
21,Spin Cycle,34,Monday,07:30:00,60,18,18,Pool,All Levels,0,1
22,Zumba Party,25,Wednesday,16:00:00,60,27,27,Pool,Intermediate,0,1
23,HIIT Blast,47,Saturday,13:00:00,75,9,3,Studio 1,Intermediate,12,1
24,Evening Pilates,11,Tuesday,20:00:00,45,8,4,Studio 1,Advanced,8,1
